id,weighted_cosine,fc_sim,bn_sim,logit_corr,agreement,noise_logit,loss_corr
58,0.24671277,-0.077323854,0.112514526,0.3730074,0.1806640625,0.31531706,0.0519428271954408
59,0.4288782,0.15444821,0.36375707,0.71299416,0.62158203125,0.4745827,0.3152975762616645
60,0.3442373,-0.033514142,0.2819529,0.4405136,0.35009765625,0.391522,0.2132040818251807
61,0.51343113,0.37136424,0.4225377,0.83182234,0.7001953125,0.54766786,0.07689827878043841
62,0.34985554,0.04584998,0.2321944,0.68782544,0.4501953125,0.60773295,0.26338453386566985
63,0.25466615,-0.065161884,0.13716796,0.423145,0.23193359375,0.28247318,0.10892224025811341
64,0.5070265,1.0,0.3203907,1.0,1.0,1.0,0.9999999986754522
65,0.25435266,-0.15005133,0.1879321,0.5001384,0.36767578125,0.47812036,0.21097993312017788
66,0.4808866,0.26299578,0.42349464,0.8361873,0.79248046875,0.6066198,0.434339389293879
67,0.3201065,-0.086636424,0.29177114,0.5975227,0.484375,0.49897882,0.2678900137511555
68,0.46208987,0.23632419,0.3530409,0.87373275,0.78271484375,0.45333332,0.35941671897824157
69,0.30319795,-0.048608363,0.21151179,0.24503417,0.09765625,0.36027768,0.1656263985207731
70,0.50801396,0.34614003,0.38747698,0.8085778,0.7080078125,0.5786072,0.21200791868362912
71,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72,0.5145575,1.0,0.27167422,1.0,1.0,1.0,0.9999999994171989
73,0.88887215,0.75440115,0.98277897,0.9297565,0.8291015625,0.8244038,0.5531875818295476
74,0.33630586,0.038125545,0.21738115,0.6768517,0.4541015625,0.4971059,0.18122535399609938
75,0.52001363,0.36458623,0.40544474,0.8082269,0.76123046875,0.41005272,0.28385596065164326
76,0.327573,-0.031665683,0.29565528,0.7934287,0.587890625,0.7150385,0.28066401371105937
77,0.43088531,0.15054327,0.42297605,0.8725548,0.79345703125,0.27762908,0.3683028895882769
78,0.9983828,0.9999999,0.9999342,0.9980197,0.96728515625,0.9972189,0.9652750164113509
79,0.36915058,0.034448832,0.34053895,0.8900883,0.75537109375,0.7073042,0.4448298285219323
80,0.23948048,-0.11851627,0.14611477,0.3666254,0.166015625,0.24820635,0.0994300865911983
81,0.5731065,0.49782056,0.4003703,1.0,1.0,1.0,0.9999999993112352
82,0.5977625,0.5005262,0.7370142,1.0,1.0,1.0,0.9999999995761446
83,0.56603086,0.49859965,0.33507827,1.0,1.0,1.0,0.9999999992582532
84,0.30601454,-0.11822027,0.30326265,0.43763256,0.33935546875,0.39035046,0.20796586969501388
85,0.26191553,-0.14009452,0.2263838,0.71509886,0.4765625,0.71490043,0.23833573325510696
86,0.99881464,0.99893165,0.99946594,0.97938144,0.892578125,0.94201607,0.6952815739791316
87,0.27198392,-0.07714358,0.1696622,0.6049505,0.2998046875,0.49849322,0.18314465443115982
88,0.3415287,-0.044278353,0.3025804,0.74373883,0.7890625,0.3816779,0.16736004666861992
89,0.53207433,0.4058078,0.34457874,0.88030535,0.80078125,0.5123985,0.3707545315683859
90,0.99278533,0.9927374,0.9959737,0.9517213,0.83251953125,0.86794496,0.5606337149326085
91,0.99633354,0.9983046,0.99742174,0.9644779,0.84912109375,0.7655663,0.5956299920419189
92,0.29673702,0.004072368,0.15975368,0.5785729,0.2568359375,0.60214186,0.1162663215213658
93,0.33001068,-0.106185585,0.39831436,0.734918,0.69677734375,0.5286571,0.32651723535052435
94,0.29523253,-0.10391158,0.31612408,0.8068549,0.59619140625,0.6557107,0.3145757491389744
95,0.29330856,0.009080201,0.14184085,0.5024437,0.24072265625,0.59450465,0.1489784858839024
96,0.9933568,0.9961414,0.99722195,0.9690451,0.86279296875,0.88905984,0.635074759155968
97,0.54241395,0.4276304,0.4258201,0.87833667,0.79736328125,0.46058285,0.4065873127060181
98,0.3546679,-0.0378792,0.41828787,0.5727805,0.50244140625,0.5214069,0.2769992557224139
99,0.5350364,0.41705462,0.3957956,0.869208,0.7783203125,0.46143606,0.298322317797525
100,0.28050062,-0.019480795,0.14633408,0.50046235,0.21923828125,0.61139137,0.16216909362512685
101,0.91566974,0.8156276,0.98635095,0.932485,0.82666015625,0.85231376,0.5899332849677149
102,0.9890926,0.9914807,0.99357843,0.9531022,0.84912109375,0.8010018,0.5480400910825973
103,0.29700974,-0.030086398,0.16985223,0.22054483,0.1220703125,0.03555681,0.12782186533969983
104,0.9961256,0.9982538,0.9998768,0.99718857,0.9677734375,0.9955456,0.9525029924913089
105,0.56823206,0.50198287,0.34599072,1.0,1.0,1.0,0.999999998834398
106,0.27301323,-0.019766271,0.1268768,0.4434394,0.32763671875,0.38649148,0.21046841142454856
107,0.34923017,-0.047066182,0.45920074,0.8702336,0.693359375,0.80447674,0.4118970722752812
108,0.99328357,0.9942144,0.99616885,0.955941,0.84814453125,0.8634803,0.5511913960945785
109,0.566137,0.49926752,0.3673842,1.0,1.0,1.0,0.999999999258253
110,0.9963691,0.99983317,0.9996227,0.9953765,0.94970703125,0.9888094,0.9198901002731013
111,0.5397354,0.4242553,0.40356737,0.86272573,0.78466796875,0.5828634,0.2935828617583246
112,0.54408324,0.43432137,0.45522252,0.86043435,0.78271484375,0.33219913,0.3089111438058999
113,0.32173052,0.017912596,0.1767686,0.6242308,0.537109375,0.5793143,0.3041339749576626
114,0.9943794,0.99790275,0.99768543,0.96366763,0.85791015625,0.74809974,0.6277650912168723
115,0.99567056,0.9981724,0.99738747,0.9650854,0.859375,0.90623534,0.6251207367478779
116,0.57338184,0.50587815,0.46493623,1.0,1.0,0.99999994,0.9999999992052713
117,0.35060483,-0.016740143,0.29598173,0.44521645,0.3466796875,0.32718897,0.20102625563156085
118,0.5443083,0.4286487,0.42481336,0.86104244,0.78369140625,0.50199753,0.2856029114401432
119,0.27544525,-0.007272005,0.13516766,0.40757683,0.244140625,0.3397466,0.18666000143354425
120,0.23475395,-0.056549132,0.057493985,0.14243361,0.06201171875,0.35444728,0.10653319564101281
121,0.99292064,0.9964262,0.99810165,0.9681438,0.85302734375,0.93843627,0.5914970924149534
